Level,Time Between Balloons,Time To Orient,Fixation Time, Fixation Loss, Times Played
4,0.3173,1.014095,1.822169,,6
,0.7515,0.9772396,1.2692,,
,5.9619,0.01599312,0.2003994,,
,3.15443,1.142845,0.3282032,,
,0.06680012,1.076796,0.367239,,
,0.08349991,1.225491,1.75877,,
,4.047197,1.126888,1.74156,,
,3.824461,0.01656723,1.77318,,
,3.16773,1.176258,0.300602,,
,2.934439,0.9682693,1.437115,,
,2.618919,0.0160141,0.3489037,,
,0.05009842,1.838238,1.738209,,
,2.838085,1.060455,0.2170982,,
,4.076595,0.01659393,1.527279,,
,2.587093,0.9165421,0.08349991,,
,0.1002007,0.7117386,0.03339767,,
,2.914921,1.111519,0.03340149,,
,0.03340149,0.9339294,0.03340149,,
,0.03340149,0.01665497,0.2171173,,
,0.03339767,,1.744221,,
,0.03339767,,1.784992,,
,3.590485,,0.3006058,,
,1.478878,,0.04134369,,
,2.356606,,1.776657,,
,0.1335983,,1.168999,,
,3.265259,,0.5803299,,
,1.513237,,1.770714,,
,0.133606,,0.9185028,,
,2.024864,,0.2672043,,
,1.56929,,0.6630173,,
,0.01669312,,0.3484421,,
,0.08349609,,,,
,1.708389,,,,

